Date,Close/Last,Volume,Open,High,Low
5/13/2022,$245.04 ,3255435,$247.15 ,$247.18 ,$242.28 
5/12/2022,$244.19 ,2860983,$245.32 ,$246.38 ,$241.12 
5/11/2022,$244.43 ,2833269,$245.27 ,$246.79 ,$243.21 
5/10/2022,$245.68 ,3070804,$248.99 ,$250.88 ,$244.93 
5/9/2022,$247.49 ,2918862,$247.00 ,$249.90 ,$246.79 
5/6/2022,$250.78 ,2964684,$248.19 ,$252.45 ,$247.70 
5/5/2022,$248.92 ,2925873,$252.89 ,$254.49 ,$246.78 
5/4/2022,$254.32 ,3289277,$246.16 ,$254.78 ,$246.16 
5/3/2022,$245.87 ,2562085,$247.39 ,$247.84 ,$242.28 
5/2/2022,$246.64 ,3418657,$250.86 ,$251.55 ,$242.26 
4/29/2022,$249.16 ,3388214,$254.28 ,$254.85 ,$248.80 
4/28/2022,$254.19 ,3549490,$249.94 ,$256.38 ,$248.08 
4/27/2022,$247.14 ,2706541,$247.98 ,$250.97 ,$247.05 
4/26/2022,$248.58 ,2948548,$250.13 ,$252.41 ,$248.33 
4/25/2022,$252.88 ,2522972,$249.45 ,$253.13 ,$247.93 
4/22/2022,$250.17 ,2643584,$255.00 ,$255.00 ,$249.94 
4/21/2022,$255.25 ,2477103,$257.65 ,$259.61 ,$254.88 
4/20/2022,$255.85 ,2278773,$256.00 ,$257.79 ,$254.82 
4/19/2022,$255.40 ,2324504,$250.04 ,$255.96 ,$250.04 
4/18/2022,$251.06 ,1426617,$249.63 ,$252.49 ,$249.13 
4/14/2022,$250.51 ,2105884,$251.33 ,$253.73 ,$250.43 
4/13/2022,$251.33 ,2133851,$249.36 ,$251.66 ,$249.02 
4/12/2022,$249.17 ,2725083,$250.73 ,$252.29 ,$248.80 
4/11/2022,$250.45 ,2326660,$251.25 ,$252.94 ,$249.93 
4/8/2022,$251.46 ,2551093,$253.04 ,$255.07 ,$250.92 
4/7/2022,$254.36 ,4041798,$250.79 ,$255.48 ,$249.54 
4/6/2022,$251.46 ,2885998,$247.64 ,$252.38 ,$245.98 
4/5/2022,$248.51 ,2532511,$246.10 ,$249.74 ,$245.43 
4/4/2022,$246.83 ,2501545,$246.79 ,$247.27 ,$242.38 
4/1/2022,$249.25 ,2023154,$248.12 ,$249.43 ,$246.18 
3/31/2022,$247.28 ,3803454,$249.72 ,$251.35 ,$247.28 
3/30/2022,$249.03 ,2227261,$247.51 ,$250.50 ,$247.51 
3/29/2022,$248.17 ,2657596,$246.35 ,$248.65 ,$244.77 
3/28/2022,$242.94 ,2041783,$241.91 ,$242.95 ,$239.86 
3/25/2022,$241.58 ,2135024,$240.54 ,$241.85 ,$239.43 
3/24/2022,$240.26 ,2337661,$237.56 ,$241.04 ,$236.47 
3/23/2022,$236.12 ,2200593,$237.13 ,$238.01 ,$235.95 
3/22/2022,$238.12 ,2938142,$237.04 ,$238.44 ,$236.47 
3/21/2022,$235.32 ,3704020,$239.58 ,$240.09 ,$234.07 
3/18/2022,$238.92 ,5336491,$237.23 ,$239.19 ,$235.99 
3/17/2022,$237.47 ,3752945,$236.44 ,$237.47 ,$234.54 
3/16/2022,$238.14 ,4173223,$234.87 ,$238.21 ,$234.36 
3/15/2022,$232.57 ,5087427,$227.98 ,$234.57 ,$227.98 
3/14/2022,$226.18 ,4436285,$226.78 ,$228.44 ,$223.16 
3/11/2022,$226.87 ,6126339,$224.74 ,$229.11 ,$224.20 
3/10/2022,$222.00 ,5444938,$220.20 ,$222.05 ,$217.68 
3/9/2022,$222.47 ,5630456,$226.79 ,$227.25 ,$222.01 
3/8/2022,$222.79 ,5258764,$224.33 ,$229.74 ,$222.20 
3/7/2022,$224.33 ,5425045,$234.31 ,$234.31 ,$224.19 
3/4/2022,$235.81 ,4186494,$234.62 ,$236.39 ,$231.64 
3/3/2022,$236.65 ,4707353,$241.01 ,$242.34 ,$235.68 
3/2/2022,$240.94 ,4482140,$240.85 ,$242.74 ,$239.61 
3/1/2022,$239.63 ,3910650,$242.30 ,$243.60 ,$238.30 
2/28/2022,$244.77 ,4410429,$244.44 ,$245.72 ,$242.36 
2/25/2022,$249.45 ,4549747,$246.00 ,$249.53 ,$243.63 
2/24/2022,$245.03 ,4856005,$242.93 ,$245.58 ,$239.61 
2/23/2022,$247.79 ,3497365,$253.53 ,$253.85 ,$247.08 
2/22/2022,$252.70 ,3980514,$250.01 ,$254.70 ,$249.60 
2/18/2022,$250.60 ,2813521,$250.34 ,$252.29 ,$250.01 
2/17/2022,$250.93 ,2831886,$251.48 ,$252.88 ,$250.00 
2/16/2022,$253.09 ,2941810,$253.77 ,$254.60 ,$251.20 
2/15/2022,$253.81 ,2171763,$254.82 ,$256.92 ,$253.56 
2/14/2022,$253.39 ,2825835,$255.91 ,$256.25 ,$251.68 
2/11/2022,$255.16 ,3592716,$256.87 ,$258.76 ,$254.73 
2/10/2022,$256.87 ,3246762,$258.60 ,$260.44 ,$255.97 
2/9/2022,$259.86 ,2379345,$261.99 ,$262.88 ,$259.41 
2/8/2022,$260.08 ,2920071,$260.50 ,$262.38 ,$259.10 
2/7/2022,$259.85 ,1959336,$261.00 ,$261.58 ,$259.17 
2/4/2022,$260.06 ,1989682,$259.87 ,$261.73 ,$257.79 
2/3/2022,$260.64 ,2242396,$262.00 ,$262.80 ,$260.07 
2/2/2022,$262.28 ,2371460,$258.83 ,$262.61 ,$258.49 
2/1/2022,$258.99 ,2496547,$259.75 ,$259.90 ,$255.58 
1/31/2022,$259.45 ,3174167,$255.02 ,$259.50 ,$254.44 
1/28/2022,$256.09 ,3833241,$250.00 ,$256.35 ,$247.16 
1/27/2022,$248.74 ,5201054,$249.60 ,$252.46 ,$245.25 
1/26/2022,$249.85 ,3838994,$253.00 ,$254.21 ,$247.86 
1/25/2022,$250.68 ,3908580,$250.83 ,$252.53 ,$247.07 
1/24/2022,$253.61 ,5155195,$252.38 ,$253.92 ,$247.78 
1/21/2022,$254.59 ,3738309,$254.04 ,$258.46 ,$253.69 
1/20/2022,$253.13 ,2602190,$256.62 ,$258.11 ,$252.90 
1/19/2022,$255.22 ,2304696,$257.55 ,$257.95 ,$255.08 
1/18/2022,$256.48 ,3076591,$256.96 ,$257.10 ,$254.31 
1/14/2022,$257.71 ,3460060,$261.14 ,$261.24 ,$257.16 
1/13/2022,$261.41 ,2371250,$261.41 ,$263.85 ,$260.59 
1/12/2022,$260.92 ,3043954,$263.37 ,$263.95 ,$260.28 
1/11/2022,$262.12 ,3206162,$263.49 ,$263.95 ,$260.32 
1/10/2022,$264.41 ,3122526,$266.72 ,$266.72 ,$262.01 
1/7/2022,$267.06 ,2209088,$268.56 ,$270.17 ,$267.00 
1/6/2022,$269.69 ,2908568,$268.12 ,$270.76 ,$267.80 
1/5/2022,$267.19 ,2473043,$269.30 ,$270.28 ,$266.90 
1/4/2022,$268.51 ,2506018,$269.50 ,$271.15 ,$268.27 
1/3/2022,$268.58 ,2750906,$269.49 ,$270.73 ,$265.56 
12/31/2021,$268.07 ,1519162,$268.00 ,$269.12 ,$267.21 
12/30/2021,$267.21 ,1714555,$269.00 ,$269.26 ,$266.70 
12/29/2021,$268.49 ,1318828,$268.45 ,$269.72 ,$267.95 
12/28/2021,$267.88 ,1303973,$267.58 ,$269.22 ,$267.25 
12/27/2021,$268.24 ,1486007,$266.47 ,$268.26 ,$266.00 
12/23/2021,$265.95 ,1509875,$265.92 ,$267.37 ,$265.45 
12/22/2021,$264.94 ,1795157,$264.32 ,$265.44 ,$264.07 
12/21/2021,$264.39 ,2851827,$264.29 ,$266.48 ,$263.42 
12/20/2021,$261.73 ,2824534,$259.63 ,$261.96 ,$258.43 
12/17/2021,$261.70 ,5967187,$264.00 ,$264.85 ,$260.88 
12/16/2021,$265.55 ,2347749,$265.56 ,$266.89 ,$264.09 
12/15/2021,$264.52 ,2641814,$262.16 ,$265.67 ,$261.41 
12/14/2021,$262.52 ,3695552,$263.00 ,$263.59 ,$261.75 
12/13/2021,$263.09 ,2878831,$264.22 ,$265.86 ,$262.40 
12/10/2021,$264.97 ,2529819,$263.88 ,$265.27 ,$262.43 
12/9/2021,$262.34 ,2955143,$259.50 ,$263.10 ,$258.36 
12/8/2021,$259.58 ,3453106,$260.00 ,$262.81 ,$259.09 
12/7/2021,$259.91 ,2596340,$256.95 ,$260.38 ,$256.45 
12/6/2021,$255.79 ,3616912,$252.40 ,$256.93 ,$252.37 
12/3/2021,$249.33 ,3229856,$250.32 ,$250.68 ,$247.57 
12/2/2021,$248.80 ,3290454,$245.66 ,$250.34 ,$245.00 
12/1/2021,$244.18 ,3275507,$245.76 ,$250.90 ,$244.11 
11/30/2021,$244.60 ,3836063,$247.38 ,$247.90 ,$243.95 
11/29/2021,$250.30 ,2084612,$251.85 ,$252.32 ,$249.83 
11/26/2021,$250.01 ,2573259,$252.51 ,$253.16 ,$248.27 
11/24/2021,$257.11 ,2642849,$254.50 ,$257.79 ,$254.05 
11/23/2021,$255.65 ,2770596,$254.81 ,$255.79 ,$253.05 
11/22/2021,$253.48 ,2438758,$252.67 ,$255.45 ,$252.21 
11/19/2021,$251.95 ,2743402,$253.29 ,$253.32 ,$250.23 
11/18/2021,$253.48 ,1751189,$253.16 ,$253.49 ,$251.08 
11/17/2021,$252.69 ,1412025,$252.41 ,$253.34 ,$250.52 
11/16/2021,$252.46 ,2195461,$253.50 ,$254.19 ,$252.38 
11/15/2021,$252.94 ,1709216,$250.67 ,$253.76 ,$250.67 
11/12/2021,$250.67 ,1625338,$250.15 ,$251.01 ,$248.89 
11/11/2021,$250.16 ,1640596,$253.33 ,$253.33 ,$249.26 
11/10/2021,$253.13 ,1794531,$250.81 ,$253.72 ,$250.81 
11/9/2021,$252.65 ,2258953,$252.91 ,$253.69 ,$250.45 
11/8/2021,$253.10 ,2471271,$254.78 ,$255.65 ,$251.93 
