Date,Close/Last,Volume,Open,High,Low
11/10/2021,$122.41 ,3225677,$122.09 ,$122.93 ,$121.61 
11/9/2021,$122.29 ,3150724,$123.10 ,$123.87 ,$122.05 
11/8/2021,$123.02 ,4183901,$123.03 ,$123.96 ,$122.34 
11/5/2021,$122.98 ,6147573,$121.27 ,$124.63 ,$120.88 
11/4/2021,$120.69 ,3928570,$121.60 ,$121.77 ,$119.97 
11/3/2021,$121.18 ,4763001,$121.36 ,$121.81 ,$119.95 
11/2/2021,$121.30 ,6909698,$120.76 ,$123.17 ,$120.15 
11/1/2021,$120.23 ,3600557,$120.14 ,$121.04 ,$120.00 
10/29/2021,$119.86 ,8118734,$120.59 ,$120.62 ,$118.88 
10/28/2021,$121.27 ,4242920,$122.30 ,$123.10 ,$120.91 
10/27/2021,$122.50 ,3611074,$124.51 ,$124.69 ,$122.05 
10/26/2021,$124.05 ,3390884,$124.22 ,$124.80 ,$123.15 
10/25/2021,$123.56 ,4182111,$123.12 ,$123.61 ,$122.05 
10/22/2021,$123.09 ,3747022,$121.59 ,$123.57 ,$121.51 
10/21/2021,$121.65 ,3737329,$121.94 ,$122.03 ,$121.33 
10/20/2021,$121.79 ,5138863,$123.00 ,$123.25 ,$121.36 
10/19/2021,$122.20 ,5031222,$121.71 ,$122.77 ,$121.17 
10/18/2021,$120.72 ,10310600,$123.06 ,$123.26 ,$119.50 
10/15/2021,$127.75 ,7229918,$126.00 ,$128.32 ,$125.75 
10/14/2021,$124.80 ,4658592,$123.45 ,$125.13 ,$123.27 
10/13/2021,$122.57 ,4063556,$122.83 ,$123.23 ,$121.96 
10/12/2021,$122.93 ,4298097,$123.79 ,$124.00 ,$122.34 
10/11/2021,$123.54 ,3588593,$124.83 ,$125.52 ,$123.48 
10/8/2021,$125.27 ,4116283,$127.00 ,$127.26 ,$125.06 
10/7/2021,$126.83 ,3135583,$127.09 ,$128.85 ,$126.62 
10/6/2021,$126.09 ,4005491,$124.89 ,$126.15 ,$123.97 
10/5/2021,$125.80 ,3853219,$125.70 ,$127.59 ,$124.99 
10/4/2021,$125.05 ,5126094,$127.01 ,$128.56 ,$124.25 
10/1/2021,$127.31 ,4042582,$126.00 ,$127.94 ,$125.17 
9/30/2021,$125.35 ,5647064,$126.58 ,$127.98 ,$125.32 
9/29/2021,$126.58 ,2693847,$126.35 ,$127.16 ,$125.38 
9/28/2021,$126.00 ,6100452,$127.81 ,$127.94 ,$125.78 
9/27/2021,$128.75 ,2931356,$129.75 ,$130.07 ,$128.30 
9/24/2021,$130.02 ,2801261,$130.28 ,$131.31 ,$129.63 
9/23/2021,$130.64 ,3890596,$128.56 ,$131.14 ,$128.47 
9/22/2021,$128.91 ,3479773,$128.79 ,$129.70 ,$128.17 
9/21/2021,$127.84 ,2999442,$129.71 ,$130.05 ,$127.76 
9/20/2021,$128.73 ,3385306,$128.29 ,$129.29 ,$127.51 
9/17/2021,$129.70 ,6833296,$130.36 ,$130.83 ,$129.17 
9/16/2021,$130.92 ,3049513,$131.66 ,$132.34 ,$130.16 
9/15/2021,$131.65 ,3303943,$130.83 ,$132.58 ,$130.01 
9/14/2021,$130.58 ,3333653,$130.80 ,$131.21 ,$129.79 
9/13/2021,$130.04 ,4703232,$132.15 ,$132.19 ,$128.76 
9/10/2021,$131.14 ,4278818,$133.77 ,$133.97 ,$130.62 
9/9/2021,$133.43 ,3445274,$135.18 ,$135.89 ,$133.36 
9/8/2021,$135.17 ,2175423,$134.42 ,$135.68 ,$133.85 
9/7/2021,$134.57 ,3214021,$133.87 ,$134.66 ,$132.95 
9/3/2021,$134.63 ,2298422,$134.66 ,$135.13 ,$134.20 
9/2/2021,$134.73 ,4963714,$135.00 ,$135.67 ,$134.24 
9/1/2021,$134.17 ,2422424,$134.17 ,$134.27 ,$132.77 
8/31/2021,$133.48 ,4769939,$133.96 ,$134.79 ,$133.03 
8/30/2021,$133.84 ,3550285,$134.18 ,$134.58 ,$133.50 
8/27/2021,$133.81 ,3801440,$133.73 ,$134.06 ,$133.07 
8/26/2021,$133.37 ,4448208,$134.65 ,$134.65 ,$132.79 
8/25/2021,$134.55 ,6484071,$132.67 ,$135.20 ,$132.20 
8/24/2021,$132.57 ,10319200,$128.78 ,$134.73 ,$128.59 
8/23/2021,$128.48 ,5028291,$130.16 ,$130.20 ,$127.59 
8/20/2021,$129.90 ,4496627,$128.83 ,$130.03 ,$128.21 
8/19/2021,$128.93 ,4016665,$128.58 ,$129.41 ,$128.01 
8/18/2021,$129.33 ,4050502,$130.80 ,$131.17 ,$129.26 
8/17/2021,$130.76 ,3410343,$129.45 ,$130.78 ,$129.00 
8/16/2021,$129.59 ,3233925,$128.45 ,$129.66 ,$128.03 
8/13/2021,$128.34 ,2552498,$127.84 ,$128.37 ,$127.24 
8/12/2021,$127.52 ,2689345,$126.25 ,$127.89 ,$126.08 
8/11/2021,$126.04 ,3403848,$126.00 ,$126.41 ,$125.50 
8/10/2021,$125.30 ,4123835,$126.82 ,$127.24 ,$123.94 
8/9/2021,$126.92 ,3411517,$128.67 ,$129.33 ,$126.68 
8/6/2021,$128.64 ,2414741,$128.52 ,$128.79 ,$127.62 
8/5/2021,$128.02 ,3711891,$128.51 ,$128.64 ,$127.12 
8/4/2021,$128.38 ,4045149,$130.63 ,$130.97 ,$128.29 
8/3/2021,$131.46 ,3208592,$131.15 ,$131.55 ,$130.48 
8/2/2021,$131.26 ,3401066,$131.56 ,$132.39 ,$131.10 
7/30/2021,$131.31 ,2740182,$130.54 ,$131.71 ,$130.35 
7/29/2021,$130.68 ,3195648,$130.94 ,$131.24 ,$129.50 
7/28/2021,$130.52 ,4317207,$130.22 ,$131.14 ,$129.72 
7/27/2021,$130.22 ,4152045,$127.81 ,$130.94 ,$127.66 
7/26/2021,$128.07 ,2402190,$128.29 ,$128.69 ,$127.05 
7/23/2021,$128.54 ,2985482,$127.57 ,$128.79 ,$127.57 
7/22/2021,$127.11 ,2342177,$127.35 ,$127.73 ,$126.23 
7/21/2021,$127.05 ,3385963,$126.66 ,$127.18 ,$126.02 
7/20/2021,$125.51 ,5137412,$122.76 ,$126.12 ,$122.76 
7/19/2021,$122.75 ,4678893,$124.83 ,$125.14 ,$121.93 
7/16/2021,$125.80 ,3646378,$125.65 ,$126.16 ,$125.05 
7/15/2021,$125.36 ,5115391,$126.46 ,$126.89 ,$124.99 
7/14/2021,$127.74 ,3049736,$128.05 ,$128.07 ,$127.04 
7/13/2021,$127.40 ,3214749,$127.57 ,$128.05 ,$126.84 
7/12/2021,$128.20 ,3165176,$128.20 ,$128.74 ,$127.75 
